Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_12911	integral membrane protein					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_12915	het-s domain protein	"GO:0006468,  GO:0004672"	"protein phosphorylation,  protein kinase activity"	"P,  F"		"G3DSA:1.10.510.10 (GENE3D), IPR001245 (PFAM),  IPR011009 (SUPERFAMILY)"	"P:GO:0006468, F:GO:0004672,  F:GO:0016772"	"P:protein phosphorylation, F:protein kinase activity, F:transferase activity, transferring phosphorus-containing groups"
FVEG_12918	related to tob3 (member of aaa-atpase family)	"GO:0017111,  GO:0005524"	"nucleoside-triphosphatase activity,  ATP binding"	"F,  F"	EC:3.6.1.15	"Coil (COILS), Coil (COILS), IPR003593 (SMART), IPR027417 (G3DSA:3.40.50.GENE3D), IPR003959 (PFAM), PTHR23077:SF70 (PANTHER), PTHR23077 (PANTHER),  IPR027417 (SUPERFAMILY)"	"F:GO:0017111, F:GO:0000166,  F:GO:0005524"	"F:nucleoside-triphosphatase activity, F:nucleotide binding, F:ATP binding"
FVEG_12920	related to 3-oxoacyl-	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR002347 (PRINTS), IPR002198 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR24322 (PANTHER), PTHR24322:SF166 (PANTHER), IPR020904 (PROSITE_PATTERNS),  SSF51735 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_12928	acid phosphatase	GO:0016788	"hydrolase activity, acting on ester bonds"	F		"IPR007312 (PFAM), PTHR31956 (PANTHER), PTHR31956:SF3 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	F:GO:0016788	"F:hydrolase activity, acting on ester bonds"
FVEG_12929	related to laccase precursor	"GO:0016491, GO:0055114,  GO:0005507"	"oxidoreductase activity, oxidation-reduction process,  copper ion binding"	"F, P,  F"		"IPR001117 (PFAM), IPR011706 (PFAM), IPR011707 (PFAM), IPR008972 (G3DSA:2.60.40.GENE3D), PTHR11709 (PANTHER), PTHR11709:SF49 (PANTHER), IPR002355 (PROSITE_PATTERNS), IPR002355 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR008972 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0016491, P:GO:0055114,  F:GO:0005507"	"F:oxidoreductase activity, P:oxidation-reduction process, F:copper ion binding"
FVEG_12960	oxidoreductase yusz	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR002347 (PRINTS), IPR002198 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR24316:SF1 (PANTHER), PTHR24316 (PANTHER),  SSF51735 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0016491"	"P:metabolic process, F:oxidoreductase activity"
FVEG_12962	phosphotransferase family protein	"GO:0046677, GO:0016773,  GO:0005524"	"response to antibiotic, phosphotransferase activity, alcohol group as acceptor,  ATP binding"	"P, F,  F"		"IPR002575 (PFAM), G3DSA:3.90.1200.10 (GENE3D), IPR024165 (PANTHER), PTHR21310:SF3 (PANTHER),  IPR011009 (SUPERFAMILY)"	"P:GO:0046677, F:GO:0016773, F:GO:0005524,  F:GO:0016772"	"P:response to antibiotic, F:phosphotransferase activity, alcohol group as acceptor, F:ATP binding, F:transferase activity, transferring phosphorus-containing groups"
FVEG_12985	glutathione s-transferase	GO:0005515	protein binding	F		"IPR012336 (G3DSA:3.40.30.GENE3D), IPR010987 (G3DSA:1.20.1050.GENE3D), IPR004045 (PFAM), IPR010987 (PROSITE_PROFILES), IPR004045 (PROSITE_PROFILES), IPR012336 (SUPERFAMILY),  IPR010987 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_12992	hypothetical protein FVEG_12992					no IPS match	no IPS match	no IPS match
FVEG_12998	related to cutinase transcription factor 1 beta	"GO:0006357, GO:0008270, GO:0000981, GO:0003677,  GO:0005634"	"regulation of transcription from RNA polymerase II promoter, zinc ion binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, DNA binding,  nucleus"	"P, F, F, F,  C"		"IPR001138 (SMART), IPR001138 (G3DSA:4.10.240.GENE3D), IPR001138 (PFAM), IPR007219 (PFAM), PTHR32514:SF19 (PANTHER), PTHR32514 (PANTHER), IPR001138 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"C:GO:0005634, P:GO:0006355, F:GO:0000981, F:GO:0008270, P:GO:0006351,  F:GO:0003677"	"C:nucleus, P:regulation of transcription, DNA-templated, F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, F:zinc ion binding, P:transcription, DNA-templated, F:DNA binding"
FVEG_13001	mfs transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR24003 (PANTHER), PTHR24003:SF533 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_13007	cmgc srpk protein kinase	"GO:0004672, GO:0006468,  GO:0005524"	"protein kinase activity, protein phosphorylation,  ATP binding"	"F, P,  F"		"G3DSA:1.10.510.10 (GENE3D), IPR000719 (PFAM), G3DSA:3.30.200.20 (GENE3D), PTHR24055:SF0 (PANTHER), PTHR24055 (PANTHER), IPR000719 (PROSITE_PROFILES),  IPR011009 (SUPERFAMILY)"	"P:GO:0006468, F:GO:0004672, F:GO:0005524,  F:GO:0016772"	"P:protein phosphorylation, F:protein kinase activity, F:ATP binding, F:transferase activity, transferring phosphorus-containing groups"
FVEG_13008	immunoglobulin i-set domain-containing protein					"IPR029018 (G3DSA:3.30.379.GENE3D), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR029018 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13009	mfs agza xanthine uracil permease	"GO:0055085, GO:0016020,  GO:0005215"	"transmembrane transport, membrane,  transporter activity"	"P, C,  F"		"IPR006043 (PFAM), PTHR11119:SF9 (PANTHER), IPR006043 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0005215, C:GO:0016020, P:GO:0006810,  P:GO:0055085"	"F:transporter activity, C:membrane, P:transport, P:transmembrane transport"
FVEG_13014	sterigmatocystin 8-o-methyltransferase	GO:0008171	O-methyltransferase activity	F	EC:2.1.1	"IPR029063 (G3DSA:3.40.50.GENE3D), IPR001077 (PFAM), IPR011991 (G3DSA:1.10.10.GENE3D), PTHR11746 (PANTHER), PTHR11746:SF61 (PANTHER), SSF46785 (SUPERFAMILY),  IPR029063 (SUPERFAMILY)"	F:GO:0008171	F:O-methyltransferase activity
FVEG_13024	e3 ubiquitin-protein ligase ari7					no IPS match	no IPS match	no IPS match
FVEG_13025	family protein	"GO:0022891, GO:0016021, GO:0006950,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane, response to stress,  transmembrane transport"	"F, C, P,  P"		"IPR003718 (PFAM), IPR015946 (G3DSA:3.30.300.GENE3D),  IPR003718 (SUPERFAMILY)"	P:GO:0006950	P:response to stress
FVEG_13027	hypothetical protein FVEG_13027					IPR001229 (SUPERFAMILY)	no GO terms	no GO terms
FVEG_13031	hypothetical protein FVEG_13031					Coil (COILS)	no GO terms	no GO terms
FVEG_13038	mfs fhs l-fucose permease	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR011701 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24003:SF421 (PANTHER), PTHR24003 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_13054	cytochrome p450 1a1	"GO:0020037, GO:0016705, GO:0004497, GO:0005506, GO:0009055, GO:0055114,  GO:0006118"	"heme binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, monooxygenase activity, iron ion binding, electron carrier activity, oxidation-reduction process,  obsolete electron transport"	"F, F, F, F, F, P,  P"		"IPR001128 (PRINTS), IPR002401 (PRINTS), IPR001128 (PFAM), IPR001128 (G3DSA:1.10.630.GENE3D), PTHR24286 (PANTHER), PTHR24286:SF35 (PANTHER), IPR017972 (PROSITE_PATTERNS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS),  IPR001128 (SUPERFAMILY)"	"F:GO:0020037, F:GO:0005506, P:GO:0055114,  F:GO:0016705"	"F:heme binding, F:iron ion binding, P:oxidation-reduction process, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
FVEG_13063	protein serac1					"IPR029058 (G3DSA:3.40.50.GENE3D), PTHR22731:SF4 (PANTHER), PTHR22731 (PANTHER), IPR027417 (SUPERFAMILY),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13080	related to gegh 16 protein					"IPR021476 (PFAM), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_13128	hypothetical protein FVEG_13128					"IPR013078 (SMART), IPR013078 (PFAM), IPR029033 (G3DSA:3.40.50.GENE3D),  IPR029033 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13129	serine protein	"GO:0004672, GO:0006468,  GO:0005524"	"protein kinase activity, protein phosphorylation,  ATP binding"	"F, P,  F"		"IPR000719 (PFAM), G3DSA:3.30.200.20 (GENE3D), G3DSA:1.10.510.10 (GENE3D), PTHR24055:SF0 (PANTHER), PTHR24055 (PANTHER), IPR017441 (PROSITE_PATTERNS), IPR000719 (PROSITE_PROFILES),  IPR011009 (SUPERFAMILY)"	"P:GO:0006468, F:GO:0005524, F:GO:0004672,  F:GO:0016772"	"P:protein phosphorylation, F:ATP binding, F:protein kinase activity, F:transferase activity, transferring phosphorus-containing groups"
FVEG_13135	related to nad dependent epimerase dehydratase family protein	"GO:0044237, GO:0050662,  GO:0003824"	"cellular metabolic process, coenzyme binding,  catalytic activity"	"P, F,  F"		"G3DSA:3.90.25.10 (GENE3D), IPR016040 (G3DSA:3.40.50.GENE3D), IPR001509 (PFAM), PTHR10366 (PANTHER), PTHR10366:SF89 (PANTHER),  SSF51735 (SUPERFAMILY)"	"F:GO:0003824, F:GO:0050662,  P:GO:0044237"	"F:catalytic activity, F:coenzyme binding, P:cellular metabolic process"
FVEG_13138	mfs sp general alpha glucoside:h+ symporter	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"IPR003663 (TIGRFAM), IPR005828 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24063:SF355 (PANTHER), PTHR24063 (PANTHER), IPR005829 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0022891, C:GO:0016020, P:GO:0055085, C:GO:0016021, F:GO:0022857, F:GO:0005215,  P:GO:0006810"	"F:substrate-specific transmembrane transporter activity, C:membrane, P:transmembrane transport, C:integral component of membrane, F:transmembrane transporter activity, F:transporter activity, P:transport"
FVEG_13149	related to duf1680 domain protein	"GO:0003824,  GO:0008152"	"catalytic activity,  metabolic process"	"F,  P"		"IPR012341 (G3DSA:1.50.10.GENE3D), IPR012878 (PFAM), PTHR31151:SF2 (PANTHER), PTHR31151 (PANTHER),  IPR008928 (SUPERFAMILY)"	F:GO:0003824	F:catalytic activity
FVEG_13165	related to major facilitator	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR011701 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24003 (PANTHER), PTHR24003:SF538 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_13166	major facilitator superfamily transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR011701 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24004 (PANTHER), PTHR24004:SF73 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_13172	esterase estb					"IPR001466 (PFAM), IPR012338 (G3DSA:3.40.710.GENE3D), PTHR22935 (PANTHER), PTHR22935:SF65 (PANTHER),  IPR012338 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13173	cyclopentanone -monooxygenase	"GO:0050660, GO:0004499, GO:0055114,  GO:0050661"	"flavin adenine dinucleotide binding, N,N-dimethylaniline monooxygenase activity, oxidation-reduction process,  NADP binding"	"F, F, P,  F"	EC:1.14.13.8	"G3DSA:3.50.50.60 (GENE3D), PF13738 (PFAM), PTHR23023:SF66 (PANTHER), PTHR23023 (PANTHER),  SSF51905 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13177	hypothetical protein FVEG_13177					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  SignalP-noTM (SIGNALP_GRAM_NEGATIVE)"	no GO terms	no GO terms
FVEG_13182	related to tam domain methyltransferase					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108:SF695 (PANTHER), PTHR10108 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_13186	spbc2 prophage-derived uncharacterized n-acetyltransferase	"GO:0008080,  GO:0042967"	"N-acetyltransferase activity,  acyl-carrier-protein biosynthetic process"	"F,  P"	EC:2.3.1	"IPR000182 (PFAM), IPR016181 (G3DSA:3.40.630.GENE3D), PTHR13256 (PANTHER), IPR000182 (PROSITE_PROFILES),  IPR016181 (SUPERFAMILY)"	F:GO:0008080	F:N-acetyltransferase activity
FVEG_13201	related to n-hydroxyarylamine sulfotransferase	GO:0008146	sulfotransferase activity	F		"IPR000863 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), PTHR11783 (PANTHER), PTHR11783:SF15 (PANTHER),  IPR027417 (SUPERFAMILY)"	F:GO:0008146	F:sulfotransferase activity
FVEG_13220	related to tol protein					IPR010730 (PFAM)	no GO terms	no GO terms
FVEG_13236	succinyl- synthetase alpha subunit	"GO:0048037, GO:0004775, GO:0003878, GO:0019643,  GO:0042709"	"cofactor binding, succinate-CoA ligase (ADP-forming) activity, ATP citrate synthase activity, reductive tricarboxylic acid cycle,  succinate-CoA ligase complex"	"F, F, F, P,  C"	"EC:2.3.3.8,  EC:6.2.1.5"	"IPR005810 (PRINTS), IPR005810 (PIRSF), IPR003781 (SMART), IPR003781 (PFAM), IPR016102 (G3DSA:3.40.50.GENE3D), IPR005811 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR11117 (PANTHER), IPR005810 (PROSITE_PATTERNS), IPR016102 (SUPERFAMILY),  SSF51735 (SUPERFAMILY)"	"F:GO:0003824, P:GO:0008152,  F:GO:0048037"	"F:catalytic activity, P:metabolic process, F:cofactor binding"
FVEG_13237	probable beta-succinyl synthetase precursor	"GO:0046872, GO:0008152, GO:0005524,  GO:0003824"	"metal ion binding, metabolic process, ATP binding,  catalytic activity"	"F, P, F,  F"		"IPR005809 (PIRSF), IPR005811 (PFAM), IPR013815 (G3DSA:3.30.1490.GENE3D), IPR013650 (PFAM), IPR013816 (G3DSA:3.30.470.GENE3D), IPR016102 (G3DSA:3.40.50.GENE3D), IPR005809 (PANTHER), IPR017866 (PROSITE_PATTERNS), SSF56059 (SUPERFAMILY),  IPR016102 (SUPERFAMILY)"	"P:GO:0008152, F:GO:0003824,  F:GO:0005524"	"P:metabolic process, F:catalytic activity, F:ATP binding"
FVEG_13238	related to integral membrane protein pth11					"TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
